#Lambda (AA)  Relative Transmission
      7835.00    0.0569057
      7840.00    0.0561040
      7845.00    0.0552951
      7850.00    0.0544992
      7855.00    0.0537327
      7860.00    0.0529876
      7865.00    0.0521960
      7870.00    0.0514407
      7875.00    0.0507035
      7880.00    0.0499941
      7885.00    0.0493016
      7890.00    0.0485676
      7895.00    0.0478463
      7900.00    0.0471704
      7905.00    0.0464586
      7910.00    0.0457719
      7915.00    0.0451307
      7920.00    0.0444344
      7925.00    0.0438264
      7930.00    0.0431576
      7935.00    0.0425505
      7940.00    0.0418814
      7945.00    0.0412569
      7950.00    0.0406328
      7955.00    0.0400422
      7960.00    0.0394397
      7965.00    0.0388582
      7970.00    0.0382619
      7975.00    0.0376930
      7980.00    0.0371317
      7985.00    0.0365687
      7990.00    0.0360260
      7995.00    0.0354853
      8000.00    0.0349271
      8005.00    0.0344073
      8010.00    0.0338847
      8015.00    0.0333183
      8020.00    0.0327796
      8025.00    0.0323275
      8030.00    0.0318068
      8035.00    0.0313284
      8040.00    0.0308703
      8045.00    0.0303474
      8050.00    0.0299089
      8055.00    0.0294100
      8060.00    0.0289509
      8065.00    0.0285041
      8070.00    0.0280741
      8075.00    0.0276496
      8080.00    0.0272035
      8085.00    0.0268012
      8090.00    0.0263496
      8095.00    0.0259470
      8100.00    0.0255205
      8105.00    0.0251442
      8110.00    0.0247153
      8115.00    0.0243553
      8120.00    0.0239319
      8125.00    0.0235302
      8130.00    0.0231592
      8135.00    0.0227822
      8140.00    0.0224073
      8145.00    0.0220583
      8150.00    0.0217134
      8155.00    0.0213669
      8160.00    0.0210049
      8165.00    0.0206682
      8170.00    0.0203439
      8175.00    0.0200260
      8180.00    0.0196646
      8185.00    0.0193647
      8190.00    0.0190296
      8195.00    0.0187108
      8200.00    0.0184300
      8205.00    0.0181114
      8210.00    0.0178167
      8215.00    0.0175623
      8220.00    0.0172198
      8225.00    0.0169493
      8230.00    0.0166610
      8235.00    0.0163897
      8240.00    0.0160970
      8245.00    0.0158442
      8250.00    0.0155543
      8255.00    0.0153062
      8260.00    0.0150802
      8265.00    0.0148289
      8270.00    0.0145629
      8275.00    0.0142992
      8280.00    0.0140704
      8285.00    0.0138323
      8290.00    0.0135876
      8295.00    0.0133508
      8300.00    0.0131219
      8305.00    0.0128755
      8310.00    0.0126755
      8315.00    0.0124815
      8320.00    0.0122632
      8325.00    0.0120433
      8330.00    0.0118143
      8335.00    0.0116219
      8340.00    0.0114291
      8345.00    0.0112207
      8350.00    0.0110959
      8355.00    0.0108379
      8360.00    0.0107330
      8365.00    0.0104918
      8370.00    0.0103255
      8375.00    0.0101423
      8380.00   0.00995453
      8385.00   0.00976802
      8390.00   0.00960674
      8395.00   0.00945562
      8400.00   0.00925605
      8405.00   0.00908641
      8410.00   0.00893619
      8415.00   0.00880633
      8420.00   0.00864198
      8425.00   0.00847091
      8430.00   0.00832016
      8435.00   0.00820811
      8440.00   0.00803116
      8445.00   0.00789814
      8450.00   0.00773797
      8455.00   0.00758883
      8460.00   0.00750006
      8465.00   0.00732263
      8470.00   0.00722882
      8475.00   0.00709631
      8480.00   0.00696061
      8485.00   0.00684785
      8490.00   0.00671580
      8495.00   0.00659800
      8500.00   0.00649926
      8505.00   0.00635388
      8510.00   0.00626969
      8515.00   0.00614663
      8520.00   0.00602950
      8525.00   0.00594646
      8530.00   0.00578558
      8535.00   0.00573645
      8540.00   0.00563283
      8545.00   0.00551545
      8550.00   0.00539219
      8555.00   0.00533581
      8560.00   0.00522214
      8565.00   0.00511060
      8570.00   0.00502966
      8575.00   0.00489708
      8580.00   0.00479468
      8585.00   0.00471360
      8590.00   0.00462275
      8595.00   0.00455423
      8600.00   0.00444762
      8605.00   0.00436523
      8610.00   0.00434865
      8615.00   0.00427648
      8620.00   0.00412711
      8625.00   0.00409219
      8630.00   0.00401215
      8635.00   0.00394695
      8640.00   0.00383705
      8645.00   0.00374716
      8650.00   0.00366502
      8655.00   0.00358732
      8660.00   0.00355890
      8665.00   0.00354725
