 *********************************************
 (reference: Madau 1995, ApJ)
 
 redshift= 0.0
 observed    IGM effective  IGM mean transmission  
 wavelength  optical depth  <exp(-tau)>
 *********************************************
    452.9350  0.162969E+00  0.849617E+00
    413.7200  0.142785E+00  0.866940E+00
    374.5050  0.122830E+00  0.884414E+00
    335.2900  0.103243E+00  0.901908E+00
    296.0750  0.841807E-01  0.919265E+00
    256.8600  0.658181E-01  0.936301E+00
    217.6450  0.483697E-01  0.952781E+00
    178.4300  0.321964E-01  0.968316E+00
    139.2150  0.181183E-01  0.982045E+00
    100.0000  0.760759E-02  0.992421E+00
 *********************************************
 redshift= 0.6
 *********************************************
   1945.0720  0.183045E-01  0.981862E+00
   1793.1120  0.138141E-01  0.986281E+00
   1641.1520  0.101685E-01  0.989883E+00
   1641.1520  0.188122E-01  0.981364E+00
   1598.6056  0.171779E-01  0.982969E+00
   1556.0592  0.156472E-01  0.984475E+00
   1556.0592  0.216704E-01  0.978563E+00
   1537.8240  0.208043E-01  0.979411E+00
   1519.5888  0.199631E-01  0.980235E+00
   1519.5888  0.247477E-01  0.975556E+00
   1510.0368  0.242136E-01  0.976077E+00
   1500.4848  0.236878E-01  0.976591E+00
   1500.4848  0.277351E-01  0.972646E+00
   1494.8408  0.273758E-01  0.972996E+00
   1489.1968  0.270198E-01  0.973342E+00
   1489.1968  0.305622E-01  0.969900E+00
   1485.5792  0.303061E-01  0.970148E+00
   1481.9616  0.300516E-01  0.970396E+00
   1481.9616  0.332223E-01  0.967324E+00
   1479.5008  0.330318E-01  0.967508E+00
   1477.0400  0.328421E-01  0.967691E+00
   1477.0400  0.357225E-01  0.964908E+00
   1475.2904  0.355763E-01  0.965049E+00
   1473.5408  0.354306E-01  0.965190E+00
   1473.5408  0.380745E-01  0.962641E+00
   1472.2520  0.379594E-01  0.962752E+00
   1470.9632  0.378446E-01  0.962863E+00
   1470.9632  0.402938E-01  0.960507E+00
   1469.9848  0.402012E-01  0.960596E+00
   1469.0064  0.401087E-01  0.960685E+00
   1469.0064  0.423901E-01  0.958496E+00
   1468.2480  0.423145E-01  0.958568E+00
   1467.4896  0.422389E-01  0.958641E+00
   1467.4896  0.443744E-01  0.956596E+00
   1466.8880  0.443115E-01  0.956656E+00
   1466.2864  0.442486E-01  0.956716E+00
   1466.2864  0.462555E-01  0.954798E+00
   1465.8024  0.462027E-01  0.954848E+00
   1465.3184  0.461500E-01  0.954899E+00
   1465.3184  0.480414E-01  0.953094E+00
   1464.9224  0.479965E-01  0.953137E+00
   1464.5264  0.479516E-01  0.953180E+00
   1464.5264  0.497414E-01  0.951475E+00
   1464.1984  0.497029E-01  0.951512E+00
   1463.8704  0.496644E-01  0.951549E+00
   1463.8704  0.513596E-01  0.949937E+00
   1463.5960  0.513263E-01  0.949969E+00
   1463.3216  0.512930E-01  0.950000E+00
   1463.3216  0.529019E-01  0.948473E+00
   1461.0608  0.526197E-01  0.948741E+00
   1458.8000  0.523385E-01  0.949008E+00
   1458.8000  0.523385E-01  0.949008E+00
   1413.5067  0.117761E+00  0.888909E+00
   1368.2134  0.179031E+00  0.836080E+00
   1322.9200  0.236172E+00  0.789645E+00
   1277.6267  0.289194E+00  0.748867E+00
   1232.3334  0.338099E+00  0.713125E+00
   1187.0400  0.382878E+00  0.681896E+00
   1141.7467  0.423511E+00  0.654744E+00
   1096.4533  0.459970E+00  0.631303E+00
   1051.1600  0.492214E+00  0.611272E+00
   1005.8667  0.520194E+00  0.594405E+00
    960.5733  0.543850E+00  0.580509E+00
    915.2800  0.563115E+00  0.569432E+00
    869.9867  0.536705E+00  0.584672E+00
    824.6933  0.505866E+00  0.602983E+00
    779.4000  0.474248E+00  0.622353E+00
    734.1067  0.441898E+00  0.642815E+00
    688.8133  0.408887E+00  0.664389E+00
    643.5200  0.375313E+00  0.687074E+00
    598.2267  0.341301E+00  0.710845E+00
    552.9333  0.307001E+00  0.735650E+00
    507.6400  0.272590E+00  0.761405E+00
    462.3467  0.238273E+00  0.787988E+00
    417.0533  0.204282E+00  0.815233E+00
    371.7600  0.170878E+00  0.842925E+00
    326.4667  0.138354E+00  0.870790E+00
    281.1733  0.107045E+00  0.898485E+00
    235.8800  0.773693E-01  0.925548E+00
    190.5867  0.500448E-01  0.951187E+00
    145.2933  0.266479E-01  0.973704E+00
    100.0000  0.991566E-02  0.990133E+00
 *********************************************
 redshift= 0.8
 *********************************************
